numberrange;name;pan;date;phone;city
40;Ralph Goodman;4716222315243647;08/10/2022;07 11 64 61 22;Castres
41;Melvin Cunningham;4168 443 63 7231;24/44/2022;05 11 37 78 72;Reims
42;Hall Mendez;4916137163137774;27/41/2022;08 13 11 34 14;Angoulême
43;Vincent Stewart;4539583758229;13/04/2023;09 92 52 87 44;Bastia
44;Brady Sweeney;455669 581337 8952;09/06/2022;08 90 33 86 18;Talence
45;Jesse Harris;452 53965 37626 564;27/52/2022;05 17 98 27 48;Orléans
46;Melvin Travis;4556 7648 8253 7532;23/33/2022;08 04 76 35 40;Montigny-lès-Metz
47;Malik Crane;4916276156749524;11/08/2022;05 37 37 79 66;Châtellerault
48;Roth Spence;4532143413753257;13/00/2022;05 98 26 41 59;Épinal
49;Derek Mcfarland;491646 554647 4519;26/00/2022;06 42 55 54 59;Épernay
50;Ishmael Reilly;4716 848 47 5779;25/29/2022;08 69 42 74 43;Reims
51;Orson Giles;4539 584 73 1571;25/21/2022;08 18 27 87 43;Saint-Étienne-du-Rouvray
52;Yardley Evans;4929474437586634;11/52/2022;07 02 26 23 14;Auxerre
53;Josiah Pate;4929788668986;20/14/2022;06 49 32 37 82;Aix-en-Provence
54;Tiger Valentine;448524 2544598826;15/25/2022;08 64 15 44 75;Lunel
55;Phelan Pace;4024 007 16 4585;03/13/2022;06 93 85 67 37;Aurillac
56;Josiah Bender;448 56322 72195 557;07/51/2022;05 50 28 86 87;Chalon-sur-Saône
57;Ezekiel Mcknight;4485 2422 8865 4520;23/07/2022;05 06 01 03 33;Colmar
58;Ulric Rocha;4539 3982 7652 3477;01/15/2022;04 41 85 16 23;Ajaccio
59;Oliver Reilly;4916438354673449;04/39/2022;04 84 62 60 78;Colmar
60;Sebastian Bender;453237 7519392350;13/15/2022;04 66 15 38 83;Sens
61;August Jones;455645 4865711888;16/30/2022;07 48 33 74 30;Ajaccio
62;Cody Travis;425 36474 34741 684;06/20/2022;07 64 65 48 24;Marcq-en-Baroeul
63;Axel Coleman;453 24232 83169 267;18/36/2021;06 54 57 16 13;Vitrolles
64;Lance Salazar;4716637232852;19/36/2021;08 57 61 39 63;Lisieux
65;Ulysses Burke;4716 571 58 6628;16/05/2022;01 15 85 85 02;Creil
66;George Miles;448534 8548772562;21/22/2022;07 10 08 13 13;Rezé
67;Hilel Coffey;474813 5545868946;05/08/2022;04 87 14 41 29;Joué-lès-Tours
68;Brady Meyer;4929484341293722;29/42/2023;06 77 77 82 49;Saint-Brieuc
69;Amery Heath;4916532443743450;03/50/2022;01 78 85 25 67;Castres
70;Tad Mckay;4539 997 31 7794;01/27/2022;01 46 60 22 51;Limoges
71;Quamar Blankenship;4716838989524;24/07/2021;08 46 57 97 72;Angers
72;Carter Holcomb;402 40071 42844 742;25/53/2022;02 96 31 28 45;Dieppe
73;Evan Mosley;492983 2776275681;10/46/2022;08 58 41 82 57;Montreuil
74;Herrod Slater;4539 4747 8374 7758;01/53/2022;09 69 58 57 25;Quimper
75;Reece Roy;491667 841335 6623;21/33/2022;07 10 07 26 43;Brive-la-Gaillarde
76;Kevin Fox;471642 955232 1347;12/25/2022;03 46 30 78 18;Châlons-en-Champagne
77;Chaney Flowers;4716 7272 3645 6615;10/48/2022;06 62 61 10 83;Épernay
78;Dylan Hoover;471 68235 73875 754;06/39/2022;02 12 74 16 73;Ajaccio
79;Armando Chambers;4929358953677;14/57/2022;04 54 25 11 33;Évreux
80;Calvin Reyes;455 67642 24273 820;24/09/2022;08 43 47 72 28;Épinal
81;Steven Brooks;4716435325794173;18/53/2022;08 86 53 37 86;Saint-Louis
82;Macaulay Bright;4539 7352 8846 5686;03/03/2021;01 70 22 38 15;Montpellier
83;Leroy Barry;4024007149735;12/16/2022;04 67 79 38 12;Vernon
84;Chandler Riddle;4556 1262 8588 2560;28/04/2022;08 62 70 83 41;Charleville-Mézières
85;Luke Herman;4024007196587;12/17/2022;04 68 30 18 92;Orléans
86;Hayden Hart;4539 345 68 6551;01/31/2022;01 51 41 04 31;Carcassonne
87;Ulric Kidd;4532948517257439;07/12/2022;04 28 72 23 80;Épinal
88;Beck English;4916 6614 7859 9741;29/27/2022;06 83 46 54 48;Saint-Nazaire
89;Allen Macias;4485115721378;18/32/2022;06 35 82 94 55;Haguenau
90;Arsenio Holmes;4716 628 48 3753;24/07/2022;08 86 42 52 08;Le Petit-Quevilly
91;Akeem William;453246 822525 4693;24/01/2022;02 55 35 72 55;Hénin-Beaumont
92;Tyrone Matthews;4716 634 72 7524;25/07/2022;02 76 92 48 73;Saint-Médard-en-Jalles
93;Rogan Gross;4532 2686 4424 4360;27/17/2022;03 78 40 66 67;Saint-Dié-des-Vosges
94;Marvin Schultz;4929 2385 4886 4937;04/29/2022;06 84 36 73 44;Périgueux
95;Gabriel Griffin;4024007143478524;31/55/2022;06 10 42 49 78;Aurillac
96;Prescott Montoya;491667 376473 6531;25/48/2022;03 71 86 29 15;Poitiers
97;Knox Haney;455686 6631127224;10/16/2022;03 80 36 72 14;Épernay
98;Xenos Vargas;4539887542445440;30/13/2022;06 84 23 37 80;Charleville-Mézières
99;Brent Vinson;4556 242 52 5435;28/45/2022;03 42 52 88 56;Hérouville-Saint-Clair
100;Brian Irwin;4916462247465375;25/03/2022;05 27 14 14 88;Alès
101;Chadwick Wilkerson;4532267717143251;08/23/2022;05 10 38 20 98;Tarbes
102;Armando Reyes;4682837424678431;07/05/2022;03 98 14 82 43;Le Grand-Quevilly
103;Kenneth Mcneil;4556 326 38 2349;03/53/2022;06 94 29 42 04;Dole
104;Jonas Gibson;492976 5378351940;11/11/2021;07 24 89 38 14;Béthune
105;Wang Best;492987 585526 8267;08/14/2021;05 74 07 85 45;Périgueux
106;Akeem Davenport;4539556786488;29/28/2022;06 68 77 65 80;Charleville-Mézières
107;Martin Bridges;4539 792 47 7975;16/21/2022;01 21 73 84 57;Niort
108;Ferdinand Deleon;4485 645 13 9851;27/51/2023;04 95 45 37 50;Troyes
109;Jeremy Sawyer;4556523151884565;19/19/2022;08 87 07 35 02;Saint-Malo
110;Thane Finley;448 51266 75323 890;10/31/2022;09 48 86 43 33;Le Mans
111;Kadeem Patel;4929648151421;13/48/2022;07 58 45 26 64;Lunel
112;Phillip Elliott;402400 713784 4715;19/54/2022;05 12 23 00 24;Châtellerault
113;Aidan Kaufman;402400 714216 6674;13/29/2022;02 43 31 38 18;Blois
114;Keegan Morse;4024 007 11 5793;25/11/2022;09 17 58 48 35;Strasbourg
115;Dale Stone;4716 8255 1485 1463;22/47/2022;05 13 91 65 76;Belfort
116;Gary Paul;482663 526732 3629;01/23/2022;07 71 44 48 66;Clermont-Ferrand
117;Mufutau Watts;4024007171994;24/41/2022;03 85 54 77 22;Salon-de-Provence
118;Hayden Justice;491635 351366 6582;15/14/2022;07 32 19 95 83;Mulhouse
119;Brennan Saunders;448 58565 32265 229;29/17/2022;03 13 47 63 04;Brest
120;Emery Burton;4024 007 16 3496;09/29/2022;02 23 13 08 16;Nancy
121;Boris Garrison;4024 0071 7453 8238;18/17/2022;08 98 53 97 35;Dunkerque
122;Griffin Hamilton;4929 7263 7873 8882;28/05/2021;05 64 18 24 26;Dole
123;Gannon Gilbert;448578 8447388558;31/47/2022;07 77 63 71 76;Amiens
124;Wayne Lucas;4527357895154563;26/02/2022;07 75 05 28 56;Saint-Dié-des-Vosges
125;Timothy Walters;4916 467 67 2710;31/17/2022;08 45 90 18 68;Cagnes-sur-Mer
126;Hakeem Cooper;453949 754837 7827;11/39/2022;01 80 69 70 12;Hérouville-Saint-Clair
127;Amir Cleveland;471665 454765 8434;18/33/2022;08 80 60 58 61;Sète
128;Palmer Booth;4532 3377 2652 2215;10/04/2022;08 32 23 31 70;Lorient
129;Cairo Wise;471676 366458 7894;23/46/2022;07 81 77 86 52;Castres
130;Stuart Fry;4526 3885 3544 4677;13/38/2022;09 63 77 94 58;Angoulême
131;Trevor Cardenas;4442 4757 4846 6364;17/01/2022;05 74 03 29 28;Illkirch-Graffenstaden
132;Odysseus Richardson;453986 8755413259;23/39/2022;09 48 91 22 33;Bastia
133;Salvador Vance;4532487427140;05/24/2022;01 53 15 77 88;La Rochelle
134;Alfonso Barron;4716254759856;06/51/2022;02 52 47 56 26;Creil
135;Raymond Green;471 64293 22977 410;25/43/2022;08 45 32 46 00;Sens
136;Jasper Francis;4485656431759;16/02/2022;08 92 96 32 13;Soissons
137;Mark Hernandez;4024 0071 4643 8830;16/58/2022;05 42 35 61 33;Montigny-lès-Metz
138;Boris Park;4171 3168 8681 3628;03/36/2022;03 18 94 51 11;Chartres
139;Callum Fulton;471644 472457 6348;13/36/2022;05 63 92 65 47;Lisieux
140;Ignatius Mcguire;448553 169757 5676;08/37/2022;04 44 82 86 55;Caen
141;Amery Garner;4485 983 11 3542;06/32/2022;05 73 75 42 81;Salon-de-Provence
142;Channing Mclaughlin;4716 8663 5178 6446;23/04/2022;03 96 45 84 70;Castres
143;Jin Conrad;4024007173343770;21/05/2023;03 55 33 70 93;Béziers
144;Robert Giles;4539271429624742;02/06/2021;04 96 66 54 54;Châteauroux
145;Keegan Aguirre;4916362952779;13/32/2022;02 55 13 87 53;Sète
146;Alvin Madden;448 55458 71394 720;11/31/2022;01 79 77 62 16;Aubervilliers
147;Ivor Joyner;4716956483835474;12/31/2022;06 37 11 92 14;Le Havre
148;Howard Livingston;4556435727335;03/58/2021;05 27 63 67 14;Alençon
149;Nero Camacho;4485124987556;31/56/2022;06 22 38 82 78;Cherbourg-Octeville
150;Myles Jones;464276 6832556153;24/36/2022;05 71 21 22 68;Saint-Brieuc
151;William Maynard;4929248354979;17/39/2021;03 58 77 88 46;Tarbes
152;Mason Randall;4716854592972918;30/15/2022;06 78 83 50 24;Paris
153;Malcolm Brewer;448565 9184789987;25/20/2022;06 14 35 45 22;Blois
154;Michael Kirk;453 98553 86983 727;13/39/2022;05 68 38 95 29;Metz
155;Garrison Ryan;453 93657 58457 318;22/29/2022;02 50 36 10 35;Montauban
156;David Pruitt;4532 3852 6584 7451;26/54/2022;07 42 25 75 87;Colomiers
157;Kevin Rivera;4916 469 85 8887;15/59/2022;09 26 74 64 24;Bastia
158;Finn Maddox;4263 2714 8591 2884;25/59/2023;02 67 32 02 21;Albi
159;Patrick Martin;402 40071 49232 321;06/56/2021;05 01 36 47 11;Vichy
160;Abel Rivera;448939 5264344551;26/03/2022;08 44 49 68 40;Châtellerault
161;Paki Fernandez;4916 657 37 5785;29/05/2022;01 95 35 54 71;Ajaccio
162;Otto Colon;453974 181326 3471;22/30/2022;07 25 68 23 12;Le Grand-Quevilly
163;Dean Robles;425479 7545454179;27/39/2022;04 23 35 18 66;Le Puy-en-Velay
164;Kenyon Bright;4539 364 84 8538;12/09/2022;01 14 44 50 83;Bastia
165;Scott Alexander;464727 4854353455;18/22/2022;04 39 69 41 94;Poitiers
166;George Holland;453214 8814373365;23/54/2021;04 11 68 42 19;Moulins
167;Bevis Chandler;4556 2324 5774 8769;13/03/2022;04 55 02 85 16;Narbonne
168;Ferris Delaney;448 52472 45337 382;07/37/2022;05 85 45 59 86;Aurillac
169;Cairo Fisher;455 66271 93471 164;31/19/2022;03 20 29 77 62;Saint-Herblain
170;Kenyon Nichols;471662 276745 2721;19/55/2022;06 24 60 23 48;Cherbourg-Octeville
171;Arsenio Ramsey;4485373498343297;07/39/2021;08 61 43 40 34;Charleville-Mézières
172;Garrison Pruitt;448572 9863227755;31/40/2021;04 24 65 75 80;Montpellier
173;Connor Rowland;4485 783 36 3347;12/27/2022;05 13 61 04 43;Perpignan
174;Joshua Winters;4916 6355 3884 2978;18/45/2022;02 56 88 19 38;Vandoeuvre-lès-Nancy
175;Stuart Carroll;4485 8563 3663 5486;12/05/2022;03 19 38 14 54;Ajaccio
176;Phillip Gross;4024 0071 5482 2958;12/36/2021;08 96 14 81 27;Rennes
177;Felix Marks;4556 846 27 4638;28/08/2023;05 22 16 75 41;Cherbourg-Octeville
178;Chaney Reeves;4539437128918;13/35/2022;02 91 85 01 30;Caen
179;Dennis Mccray;4556352922299378;19/52/2021;01 15 54 65 54;Brive-la-Gaillarde
180;Josiah Figueroa;4716238322474;12/11/2022;07 32 28 47 59;Brive-la-Gaillarde
181;Odysseus Waters;453913 6625665296;05/59/2022;04 23 88 04 71;Aubagne
182;Stewart Faulkner;492 98662 79332 342;13/38/2022;08 65 75 39 87;La Seyne-sur-Mer
183;Cyrus Trujillo;453973 6789782470;10/23/2022;06 71 81 46 06;Saintes
184;Kennedy Dickerson;4539 5329 3738 9114;17/15/2022;06 58 52 55 10;Chalon-sur-Saône
185;Abraham Mccall;4539946846484230;03/31/2022;03 71 35 63 94;Schiltigheim
186;Hunter Bray;4539 724 45 3870;07/21/2022;06 10 28 78 66;Bastia
187;Ali Byrd;4716283564319;13/10/2022;06 14 73 38 17;Perpignan
188;Hamilton Clark;4532187869211;12/55/2021;05 57 44 44 28;Lambersart
189;Colby Klein;471657 2643458279;14/38/2022;04 76 15 16 60;Sens
190;Aristotle Harrington;4716 3136 8455 9976;07/31/2022;02 22 25 19 88;Le Puy-en-Velay
191;Harding Blackburn;4916525231766881;23/17/2023;07 13 17 65 74;Abbeville
192;Griffin Henson;453965 2811587839;16/55/2021;07 66 84 20 52;Ajaccio
193;Cairo Woods;453933 5728251620;03/26/2022;07 03 12 12 22;Lisieux
194;Rashad Pennington;4916312621318;30/56/2022;02 91 97 14 06;Évreux
195;Abbot Hines;4716434365665;06/40/2021;03 05 39 09 16;Bastia
196;Dieter Deleon;492966 266892 9354;23/11/2022;03 71 37 75 58;Pessac
197;Armando Cooley;402400 7154378688;09/03/2022;09 50 89 71 78;Charleville-Mézières
198;Caldwell Drake;4916 264 83 5718;15/06/2022;05 30 44 61 83;Cannes
199;Tyler Savage;4916 364 47 6470;17/56/2023;06 64 46 28 51;Reims
200;Deacon Sanchez;4485 823 62 2975;18/59/2022;07 10 32 88 17;Cannes
201;Jamal Humphrey;4024007155658;08/41/2022;03 85 48 30 87;La Rochelle
202;Zeph Salazar;492 93737 39436 888;26/47/2022;03 97 12 26 88;Dieppe
203;Burke Rasmussen;453 22611 52682 428;28/47/2022;07 93 32 43 79;La Roche-sur-Yon
204;Amery Nolan;492989 953629 5994;29/23/2022;09 92 12 73 62;Chartres
205;Reed Pope;492987 143766 2564;29/18/2022;03 72 04 44 07;Montluçon
206;Lucius Ramsey;483519 233381 5823;05/29/2022;04 13 99 88 85;Nancy
207;Valentine Wilcox;4556 5275 1273 1498;03/29/2021;05 52 55 84 72;Compiègne
208;Ahmed Walter;4539 1789 3579 1610;17/00/2023;01 73 57 84 04;Alès
209;Jonah Chan;4716 252 84 8743;31/03/2022;08 62 61 83 77;Le Puy-en-Velay
210;Arden Chapman;448 54426 62876 778;01/58/2022;06 16 25 46 83;Hérouville-Saint-Clair
211;Ralph Lawson;4024 007 11 4788;06/24/2021;05 63 35 17 12;Paris
212;Bradley Black;4916 674 27 6230;31/52/2022;02 77 66 30 13;Rodez
213;Wing Mcgowan;4539617364960;27/12/2022;01 10 23 85 84;Saint-Louis
214;Denton Mcmillan;4539131874726;05/24/2022;04 21 36 27 16;Champigny-sur-Marne
215;Nero Greene;492 99324 64483 561;19/07/2022;03 26 62 76 75;Saint-Maur-des-Fossés
216;Todd Charles;4292342523282245;23/12/2022;07 98 88 78 08;Quimper
217;Drake Burgess;4556 6367 6358 5816;23/52/2022;05 33 61 51 91;Alençon
218;Wyatt Merrill;448524 488644 4619;14/01/2022;08 80 24 51 29;Nantes
219;Arsenio Dawson;4916 7883 9317 7368;23/20/2023;05 00 35 03 62;Sens
220;Ashton Flores;4539456877429567;04/38/2022;03 81 02 33 72;Bourges
221;Dexter Vance;4716953125774229;03/54/2022;08 61 21 01 83;Chalon-sur-Saône
222;Leonard Salinas;4556 987 87 7223;05/44/2022;05 02 41 56 25;Dijon
223;George Jones;4929584545424716;02/54/2022;06 17 87 38 11;Blois
224;Abbot Alford;4716312648745;09/18/2022;05 73 99 56 53;Ajaccio
225;Akeem Andrews;453249 477828 8987;05/32/2022;06 56 24 99 63;Lanester
226;John Moss;453997 4573875750;17/58/2022;06 67 37 63 68;Vierzon
227;Leo Compton;448578 1447591859;01/20/2022;06 83 78 56 86;Versailles
228;Hall Maddox;402400 715237 6874;23/55/2023;03 23 65 81 73;Argenteuil
229;Benjamin Frye;4916155876339529;19/32/2022;05 25 09 89 31;Saumur
230;Jerry Gallagher;448526 7419815237;18/02/2022;04 42 93 44 51;Sète
231;Wade Haley;448542 582583 3257;13/51/2022;08 97 21 80 25;Ajaccio
232;Matthew Fleming;4929352264451;28/11/2022;08 23 00 74 57;Dole
233;Brian Lamb;492923 3766516699;28/42/2021;05 69 28 33 17;Villeneuve-d'Ascq
234;Wang Bowers;492995 358687 9551;19/47/2021;02 96 27 78 13;Orléans
235;Ferdinand Ferrell;4539759284554;03/21/2022;08 15 54 24 42;Albi
236;Gregory Strong;4539 6386 1423 5247;21/14/2021;05 50 17 20 42;Évreux
237;Louis Sargent;4792693621451727;30/32/2022;08 40 41 81 70;Poitiers
238;Moses Castillo;4024 0071 8527 2587;09/42/2021;07 85 83 37 25;Beauvais
239;Walker Serrano;4929452222796469;06/03/2022;08 54 28 17 44;Abbeville
240;Len Small;453 25797 33293 666;28/40/2022;06 53 87 85 13;Angoulême
241;Justin Carson;491624 7537877367;05/07/2022;01 34 30 60 19;Auxerre
242;Lars Daugherty;4024 0071 3393 7364;15/11/2022;07 27 47 75 72;Bastia
243;Lewis Kim;4539863964638;06/47/2022;04 65 47 01 73;Laon
244;Victor Alford;4916662548588375;25/34/2022;06 81 10 56 38;Châteauroux
245;Jacob Morin;4716257346164;19/07/2021;07 62 55 76 16;Saint-Malo
246;Aladdin Carney;471 65498 55364 957;09/40/2022;08 21 93 37 53;Saint-Louis
247;Hiram Terrell;4485672935425850;20/00/2022;03 87 84 18 47;Dole
248;Emerson Pitts;4024007155112;05/56/2022;05 80 19 43 82;Caen
249;Allistair Madden;471 65898 56354 359;13/59/2022;03 25 31 47 13;Le Mans
250;Derek Mccarty;4929552558446371;29/41/2022;06 81 50 53 42;Amiens
251;Benjamin Young;4295551421852845;19/32/2022;07 49 66 61 58;Orléans
252;Upton Cortez;455 66966 68469 797;15/38/2022;05 13 39 18 30;Saintes
253;Charles Ayala;4561165421739220;10/47/2022;01 63 56 53 57;Le Puy-en-Velay
254;Dane Kelley;4842247423617413;10/27/2022;07 03 71 26 04;Moulins
255;Wallace Bush;4485 5795 8828 3587;04/59/2022;01 26 75 16 16;Brest
256;Tucker Fleming;402 40071 38786 428;14/29/2022;09 39 57 25 18;Besançon
257;Byron Clark;402 40071 35228 929;25/57/2022;05 54 29 61 84;Arles
258;Zeus Bennett;4532 383 45 1434;02/38/2022;05 58 22 31 27;Mont-de-Marsan
259;Bert Wheeler;453214 8247862513;05/52/2022;04 44 70 85 62;Épinal
260;Tate Russell;4929 1472 6828 4921;12/26/2022;05 21 45 44 42;Nanterre
261;Barry Jefferson;4427772475277579;24/49/2021;02 32 94 34 48;Arras
262;Laith Santiago;453 95532 73362 556;29/35/2022;09 88 60 33 07;Montauban
263;Phelan Camacho;471 62225 67324 715;30/04/2022;04 81 68 06 08;Mérignac
264;Asher Wiggins;4716 3924 5764 3639;27/22/2022;09 98 97 75 23;Chalon-sur-Saône
265;Zeph Hurst;471669 4566646423;14/25/2022;06 21 42 61 11;Tours
266;Timon Peterson;448 51489 82275 514;26/14/2022;01 89 24 55 59;Saint-Malo
267;Garrett Galloway;4024007187677;20/45/2022;09 83 26 29 65;Biarritz
268;Norman Guzman;4556614663830;15/15/2021;01 36 11 53 68;Saint-Maur-des-Fossés
269;Cedric Dyer;4532771843747976;10/45/2022;02 25 83 45 66;Chartres
270;Drew Holland;4916 238 53 3183;18/39/2022;08 17 71 09 21;Nevers
271;Chancellor Rojas;4532 345 21 8756;13/18/2022;02 15 61 13 51;La Rochelle
272;Dieter Roman;4532 588 48 4347;04/26/2022;05 54 74 21 47;Dole
273;Kadeem Fitzpatrick;471625 628283 5886;27/43/2022;08 64 37 45 74;Perpignan
274;Vaughan Valencia;4916 271 46 7539;24/22/2022;03 58 58 53 15;Strasbourg
275;Jerome Weeks;4716 5228 9322 9318;16/54/2023;05 14 93 98 13;Hérouville-Saint-Clair
276;Henry Richard;453 26253 26323 350;19/27/2022;03 36 16 43 73;Ajaccio
277;Drew Swanson;471 62356 66738 890;26/41/2022;02 71 34 17 44;Lorient
278;Elijah Eaton;4916371736932;05/56/2022;09 31 73 63 41;Auxerre
279;Bradley Acevedo;492 92148 65741 727;02/39/2022;01 26 11 67 14;Blois
280;Lars Fuentes;4294 3495 7496 4157;01/20/2022;05 47 16 32 86;Brive-la-Gaillarde
281;Perry Hall;4556 718 13 3342;27/50/2022;05 87 27 04 54;Cholet
282;Armand Quinn;455 67254 18368 486;24/31/2022;04 10 43 24 22;Vannes
283;Branden Reed;4556 7424 7672 6281;29/06/2022;02 43 30 98 66;Creil
284;Curran Bender;402400 715745 8677;14/53/2022;07 76 81 28 65;Dreux
285;Clark Crawford;453 24584 33688 519;25/24/2022;05 22 36 12 85;Hyères
286;Addison Vaughan;4024007174242443;06/28/2022;07 11 34 92 22;Belfort
287;Alec Guthrie;4024 0071 5743 9974;20/49/2022;09 53 14 28 11;Limoges
288;Harper Payne;4485 755 54 8743;13/31/2022;03 72 25 91 71;Cholet
289;Lamar Collier;4024007183858;07/18/2022;02 55 75 96 46;Cholet
290;Elton Haney;453911 8178253647;22/44/2023;01 27 56 06 84;Beauvais
291;Orlando Gibson;4716 2954 8748 8687;24/24/2022;04 81 66 88 24;Lorient
292;Conan Bass;455628 4347565762;05/57/2022;04 37 93 33 70;Pessac
293;Carl Blackburn;448536 854543 3422;15/58/2022;05 75 37 51 56;Bastia
294;Alfonso Lawson;448582 5545731535;24/28/2022;06 73 16 74 79;Ajaccio
295;Ivan Rios;4485 6537 7767 8269;27/41/2022;04 20 82 11 83;Auxerre
296;Brent Leach;4532753486316160;29/36/2022;07 56 81 23 95;Sens
297;Malik Coffey;4539 465 32 2227;07/34/2022;07 68 74 40 84;Alençon
298;Ivan Solomon;4485 8127 6466 6386;10/42/2022;06 22 66 27 06;Limoges
299;Elmo Stokes;4485785442172;20/32/2022;08 89 71 14 65;Limoges
300;Hamilton Rutledge;4539493412123;24/06/2022;09 64 39 73 76;Aurillac
301;Barclay Bailey;4716288882356245;21/24/2023;06 77 67 01 31;Castres
302;Yasir Miranda;4485 932 66 2961;04/59/2022;07 34 63 97 36;Limoges
303;Knox Dillard;4716667338379747;20/43/2022;06 54 98 56 87;Limoges
304;Judah Gallegos;456 62656 43689 834;04/08/2022;05 26 41 72 97;Aubervilliers
305;Lane Kerr;453938 652798 8961;28/52/2022;08 23 73 84 58;Tournefeuille
306;Macon Walker;4539 4928 1713 6228;07/03/2023;04 56 81 72 68;Colombes
307;Joshua Kane;4916 563 55 3376;04/30/2022;02 67 48 37 24;Forbach
308;Dante Simmons;4395 538 84 6373;21/49/2022;07 59 14 65 02;Rueil-Malmaison
309;Cullen Sharp;4556 152 53 3429;16/04/2023;04 21 22 25 67;Lisieux
310;Declan Finch;453 91642 84926 155;03/18/2022;06 12 94 55 97;Marseille
311;Cadman Chapman;453 27883 73527 560;07/03/2022;07 82 54 47 93;Villenave-d'Ornon
312;Quamar Mcmahon;448 57632 92188 361;23/33/2021;04 71 17 13 88;Mulhouse
313;Gareth Norton;453 97862 18317 422;05/38/2022;09 86 86 83 28;Colmar
314;Derek Goodman;4716 4564 2762 7467;20/37/2022;08 79 72 33 14;Vichy
315;Noble Oneal;453971 447681 6554;15/38/2022;06 18 37 17 46;Saint-Médard-en-Jalles
316;Cain Mcconnell;494547 267466 2357;09/13/2022;05 94 65 73 57;Narbonne
317;Ciaran O'Neill;455696 5288567284;13/09/2022;07 48 07 68 76;Forbach
318;Eaton Brewer;4916575688477425;29/29/2022;03 71 82 15 17;Asnières-sur-Seine
319;Colton Gilmore;455677 728713 2881;05/40/2022;04 02 40 32 63;Épinal
320;Finn James;492992 5382892160;06/11/2022;03 88 93 74 62;Clermont-Ferrand
321;Lyle Reid;4556566873783;29/09/2022;07 61 67 65 49;Mâcon
322;Oliver Griffith;4532984676984687;27/55/2022;07 31 47 29 47;Castres
323;Gregory Hansen;4556 244 65 4225;05/31/2022;05 58 33 19 66;Illkirch-Graffenstaden
